Row,Tbest,Tmean,Tstd
$\rho_{m}$ [kg/m\textsuperscript{3}],1229.95,1223.31,25.83
$E_{m}$ [GPa],   3.63,   3.71, 0.07
$E_{f}$ [GPa], 237.04, 240.17, 3.14
$\nu_{m}$,   0.40,   0.39, 0.01
$\nu_{f}$,   0.30,   0.30, 0.00
$V$,   0.35,   0.34, 0.01
