Row,Tbest,Tmean,Tstd
$\rho_{m}$ [kg/m\textsuperscript{3}],        1183.02,        1180.23,         12.37
$E_{m}$ [GPa],  4287500000.00,  3787658119.66,  341039812.52
$E_{f}$ [GPa],180000000000.00,259838827838.83,53670682336.19
$\nu_{m}$,           0.40,           0.36,          0.06
$\nu_{f}$,           0.25,           0.25,          0.00
$V$,           0.52,           0.48,          0.03
